diseases_id,name,description,cure,image,plant
16b4f429-9b1b-43c7-8369-fdb69a4a96b5,"Septoria leaf spot","Due au Champignon Septoria lycopersici, se caractérise par des taches circulaires avec un centre gris-blanc et des bords foncés. Les périodes chaudes et humides favorisent sa propagation.","Pour traiter la Septoria Leaf Spot, retirez et détruisez les feuilles infectées, utilisez des fongicides appropriés selon les instructions, et favorisez une bonne circulation de l'air pour réduire l'humidité.",septorialeafspot.jpg,tomate
3aaf73fc-4df3-4ad4-b6aa-f35dfcb899f5,"Mosaic Virus","C'est une infection virale qui entraîne une réduction du nombre et de la qualité des fruits, tout en laissant des marques de mosaïque distinctives sur les feuilles des plantes de tomate. Ces marques apparaissent généralement sous forme de motifs de couleur claire et foncée, donnant l'impression d'un mosaïque.","Le traitement de cette maladie virale est malheureusement limité. L'élimination immédiate des plantes affectées est cruciale pour empêcher la propagation du virus. Il est également important de désinfecter soigneusement tout l'équipement de jardinage utilisé avec les plantes infectées pour éviter de contaminer d'autres cultures. En outre, l'utilisation de semences certifiées exemptes du virus peut contribuer à prévenir son introduction dans votre jardin.",mosaicvirus.jpg,tomate
3fe6b59b-1d88-4e11-a17e-0a46ccf46c1f,"Not leaf",NULL,NULL,NULL,NULL
4f358108-97a3-44c7-9b42-d44f816c6f12,"Late Blight","Phytophthora infestans est à l'origine de la Late Blight, caractérisée par des taches vert et noir sur les feuilles et une pourriture rapide des fruits.","La prévention recommande l'utilisation de fongicides tels que le chlorothalonil et le Mancozèbe.  ",lateblight.jpg,tomate
76c3a6a6-b06e-44f4-a6b3-27f74e20a0eb,"Early Blight","Causée par le Champignon Alternaria solani, se manifeste par des taches brunes distinctives sur les feuilles et les tiges des fruits des plantes de tomate.","Pour la prévention, il est recommandé d'éliminer les résidus végétaux infectés après la récolte et de pratiquer une rotation des cultures pour éviter la récurrence de l'infection dans les saisons suivantes.",earlyblight.jpg,tomate
948a27c3-fdb7-458e-97fc-59febbfc1b1d,Healthy,NULL,NULL,NULL,NULL
a550cbf3-4090-4f59-84a3-d68ef40ab5c3,"Leaf mold","Causée par Cladosporium fulvum, se manifeste par des taches jaunes sur la face inférieure des feuilles de tomate.","Pour la gestion, il est recommandé de retirer et de détruire les parties affectées de la plante afin de limiter la propagation de la maladie. En plus de cela, maintenez une hygiène culturale rigoureuse pour prévenir la contamination des autres plantes. ",leafmold.jpg,tomate
b87b0d76-8cc9-44cf-9a3c-032b5b94634a,"Bacterial spot","La Bacterial Spot, causée par Xanthomonas campestris pv. vesicatoria, se caractérise par des taches angulaires brunes à noires sur les feuilles de tomate. Pour la repérer, inspectez les feuilles régulièrement à la recherche de ces symptômes distinctifs, surtout près des bords.","Pour le traitement et la prévention, maintenez un espacement adéquat entre les plantes pour favoriser la circulation de l'air et éviter l'humidité stagnante. Privilégiez une irrigation au sol pour réduire le contact des feuilles avec l'eau. En cas d'infestation avérée, des traitements à base de cuivre peuvent être utilisés, en suivant scrupuleusement les doses recommandées pour éviter toute toxicité. Cependant, la meilleure approche reste la prévention, par une gestion appropriée de l'environnement de culture et une surveillance régulière des cultures.",bacterialspot.jpg,tomate
d34cb9c4-82ec-4a2f-87f4-89bfaa5a14cb,"Spider Mites","Les Tétranyques, responsables des taches chlorotiques, du jaunissement des feuilles et leur flétrissement.","Peuvent être traités en lavant les plantes avec un savon doux et en utilisant un savon insecticide.",spidermites.jpg,tomate
eeb86926-f4ef-4155-8a4a-bad3771cf784,"Yellow Leaf Curl Virus","Induit le jaunissement et l'incurvation des feuilles des plants de tomate.","Pour prévenir son apparition, il est crucial de limiter les infestations par l'aleurode du tabac, un vecteur commun de ce virus.",yellowleafcurl.jpg,tomate
f48b537e-d084-4dc1-8f72-2df68e144c47,"Target Spot","Causée par le champignon Corynespora cassiicola, se manifeste par des taches chlorotiques sur les feuilles, qui évoluent ensuite pour devenir brun clair au centre. Ces taches peuvent être de taille variable et sont souvent entourées d'un halo jaunâtre.","Pour traiter cette maladie, l'utilisation de fongicides est recommandée dès l'apparition des premiers symptômes. Les fongicides spécifiques contre les champignons, appliqués selon les instructions du fabricant, peuvent aider à contrôler la propagation de la maladie. Il est important d'appliquer les fongicides de manière préventive pour protéger les nouvelles feuilles et prévenir de nouvelles infections. Assurez-vous de couvrir uniformément les feuilles avec le fongicide pour une protection efficace.
En plus de l'utilisation de fongicides, une bonne gestion de l'environnement de culture peut également contribuer à réduire la propagation de la Target Spot. Cela inclut la suppression des feuilles infectées dès leur apparition, ainsi que le maintien d'une bonne circulation de l'air autour des plantes pour réduire l'humidité, ce qui favorise le développement du champignon.
En combinant une utilisation appropriée de fongicides avec une gestion proactive de l'environnement de culture, vous pouvez mieux contrôler la Target Spot et protéger vos plants de tomate contre cette maladie.",targetspot.jpg,tomate
